timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1571061785403,2019-10-14T14:03:05.403,1571048101763,23,0.48,poll_service,Polling service,,,,282
1571061785408,2019-10-14T14:03:05.408,1571048101763,23,0.48,gps_on,GPS collection on,,,,283
1571061785411,2019-10-14T14:03:05.411,1571048101763,23,0.48,set_timer,Set timer for 59.9944748878479 seconds,59.9944748878479,,,284
1571061845417,2019-10-14T14:04:05.417,1571048101763,23,0.48,poll_service,Polling service,,,,285
1571061845420,2019-10-14T14:04:05.420,1571048101763,23,0.48,gps_off,GPS collection off,,,,286
1571061845432,2019-10-14T14:04:05.432,1571048101763,23,0.48,set_timer,Set timer for 659.9928991794586 seconds,659.9928991794586,,,287
1571061845444,2019-10-14T14:04:05.444,1571048101763,23,0.48,file_flush,Flushing lines to file,SG00110_gps_1571061065633,62,,288
1571062203642,2019-10-14T14:10:03.642,1571048101763,23,0.47,file_flush,Flushing lines to file,SG00110_powerState_1571061065626,3,,289
1571062203642,2019-10-14T14:10:03.642,1571048101763,23,0.47,file_create,Create new data file,SG00110_powerState_1571061065626,false,,290
1571062505420,2019-10-14T14:15:05.420,1571048101763,23,0.47,poll_service,Polling service,,,,291
1571062505423,2019-10-14T14:15:05.423,1571048101763,23,0.47,gps_on,GPS collection on,,,,292
1571062505427,2019-10-14T14:15:05.427,1571048101763,23,0.47,set_timer,Set timer for 59.99574303627014 seconds,59.99574303627014,,,293
1571062565506,2019-10-14T14:16:05.506,1571048101763,23,0.47,poll_service,Polling service,,,,294
1571062565509,2019-10-14T14:16:05.509,1571048101763,23,0.47,gps_off,GPS collection off,,,,295
1571062565515,2019-10-14T14:16:05.515,1571048101763,23,0.47,set_timer,Set timer for 659.9942858219147 seconds,659.9942858219147,,,296
1571062565521,2019-10-14T14:16:05.521,1571048101763,23,0.47,file_flush,Flushing lines to file,SG00110_gps_1571061065633,62,,297
1571063225567,2019-10-14T14:27:05.567,1571048101763,23,0.47,poll_service,Polling service,,,,298
1571063225570,2019-10-14T14:27:05.570,1571048101763,23,0.47,gps_on,GPS collection on,,,,299
1571063225645,2019-10-14T14:27:05.645,1571048101763,23,0.47,set_timer,Set timer for 59.99202013015747 seconds,59.99202013015747,,,300
1571063225756,2019-10-14T14:27:05.756,1571048101763,23,0.47,file_flush,Flushing lines to file,SG00110_gps_1571063225750,2,,301
1571063225756,2019-10-14T14:27:05.756,1571048101763,23,0.47,file_init,Init new data file,SG00110_gps_1571063225750,false,,302
1571063226638,2019-10-14T14:27:06.638,1571048101763,23,0.47,uploaded,Uploaded data file,SG00110_powerState_1571061065626.csv,,,303
1571063226833,2019-10-14T14:27:06.833,1571048101763,23,0.47,uploaded,Uploaded data file,SG00110_ios_log_1571061065601.csv,,,304
1571063227300,2019-10-14T14:27:07.300,1571048101763,23,0.47,uploaded,Uploaded data file,SG00110_gps_1571061065633.csv,,,305
1571063227531,2019-10-14T14:27:07.531,1571048101763,23,0.47,uploaded,Uploaded data file,SG00110_ios_log_1571061065638.csv,,,306
1571063227538,2019-10-14T14:27:07.538,1571048101763,23,0.47,upload_complete,Upload Complete,4,,,307
1571063285587,2019-10-14T14:28:05.587,1571048101763,23,0.47,poll_service,Polling service,,,,308
1571063285591,2019-10-14T14:28:05.591,1571048101763,23,0.47,gps_off,GPS collection off,,,,309
1571063285613,2019-10-14T14:28:05.613,1571048101763,23,0.47,set_timer,Set timer for 659.9938468933105 seconds,659.9938468933105,,,310
1571063285639,2019-10-14T14:28:05.639,1571048101763,23,0.47,file_flush,Flushing lines to file,SG00110_gps_1571063225769,61,,311
1571063285639,2019-10-14T14:28:05.639,1571048101763,23,0.47,file_create,Create new data file,SG00110_gps_1571063225769,false,,312
1571063805169,2019-10-14T14:36:45.169,1571048101763,20,0.47,memory_warn,Application received memory warning,,,,313
1571063822491,2019-10-14T14:37:02.491,1571048101763,23,0.47,memory_warn,Application received memory warning,,,,314
1571063871676,2019-10-14T14:37:51.676,1571048101763,23,0.47,memory_warn,Application received memory warning,,,,315
1571063923458,2019-10-14T14:38:43.458,1571048101763,21,0.47,memory_warn,Application received memory warning,,,,316
1571063945608,2019-10-14T14:39:05.608,1571048101763,14,0.47,poll_service,Polling service,,,,317
1571063945614,2019-10-14T14:39:05.614,1571048101763,14,0.47,gps_on,GPS collection on,,,,318
1571063946131,2019-10-14T14:39:06.131,1571048101763,15,0.47,set_timer,Set timer for 59.799920082092285 seconds,59.799920082092285,,,319
1571064005670,2019-10-14T14:40:05.670,1571048101763,15,0.47,poll_service,Polling service,,,,320
1571064005672,2019-10-14T14:40:05.672,1571048101763,15,0.47,gps_off,GPS collection off,,,,321
1571064005678,2019-10-14T14:40:05.678,1571048101763,15,0.47,set_timer,Set timer for 659.9965178966522 seconds,659.9965178966522,,,322
1571064005691,2019-10-14T14:40:05.691,1571048101763,16,0.47,file_flush,Flushing lines to file,SG00110_gps_1571063225769,60,,323
1571064048609,2019-10-14T14:40:48.609,1571048101763,16,0.46,file_flush,Flushing lines to file,SG00110_powerState_1571063225764,3,,324
1571064048609,2019-10-14T14:40:48.609,1571048101763,16,0.46,file_create,Create new data file,SG00110_powerState_1571063225764,false,,325
1571064665701,2019-10-14T14:51:05.701,1571048101763,15,0.46,poll_service,Polling service,,,,326
1571064665704,2019-10-14T14:51:05.704,1571048101763,15,0.46,gps_on,GPS collection on,,,,327
1571064665709,2019-10-14T14:51:05.709,1571048101763,16,0.46,set_timer,Set timer for 59.994174003601074 seconds,59.994174003601074,,,328
1571064725772,2019-10-14T14:52:05.772,1571048101763,16,0.46,poll_service,Polling service,,,,329
1571064725776,2019-10-14T14:52:05.776,1571048101763,16,0.46,gps_off,GPS collection off,,,,330
1571064725788,2019-10-14T14:52:05.788,1571048101763,16,0.46,set_timer,Set timer for 659.9927270412445 seconds,659.9927270412445,,,331
1571064725795,2019-10-14T14:52:05.795,1571048101763,16,0.46,file_flush,Flushing lines to file,SG00110_gps_1571063225769,63,,332
1571065093081,2019-10-14T14:58:13.081,1571048101763,14,0.45,file_flush,Flushing lines to file,SG00110_powerState_1571063225764,1,,333
