timestamp,UTC time,event,level
1570374273162,2019-10-06T15:04:33.162,Charging,0.98
1570374532181,2019-10-06T15:08:52.181,Locked,0.98
1570374683589,2019-10-06T15:11:23.589,Charging,0.99
1570374795035,2019-10-06T15:13:15.035,Unplugged,0.99
1570374796119,2019-10-06T15:13:16.119,Unlocked,0.99
1570374844231,2019-10-06T15:14:04.231,Full,0.99
1570374844589,2019-10-06T15:14:04.589,Charging,0.99
1570374864937,2019-10-06T15:14:24.937,Charging,1.0
1570375144746,2019-10-06T15:19:04.746,Unplugged,1.0
1570375166505,2019-10-06T15:19:26.505,Full,1.0
1570375166592,2019-10-06T15:19:26.592,Charging,1.0
1570375426195,2019-10-06T15:23:46.195,Locked,1.0
1570375446736,2019-10-06T15:24:06.736,Unlocked,1.0
1570375597867,2019-10-06T15:26:37.867,Locked,1.0
1570375617576,2019-10-06T15:26:57.576,Unlocked,1.0
1570376006498,2019-10-06T15:33:26.498,Locked,1.0
1570376163690,2019-10-06T15:36:03.690,Unlocked,1.0
1570376524168,2019-10-06T15:42:04.168,Unplugged,1.0
1570376661460,2019-10-06T15:44:21.460,Full,1.0
1570376661892,2019-10-06T15:44:21.892,Charging,1.0
1570377509438,2019-10-06T15:58:29.438,Unplugged,1.0
