timestamp,UTC time,question id,survey id,question type,question text,question answer options,answer,event
1570374066561,2019-10-06T15:01:06.561,,99bkE55x95UaRttt8SGLRprV,,,,,notified
1570374066572,2019-10-06T15:01:06.572,,JjEekCUrr5yjHW32kxGQivmQ,,,,,notified
1570374066582,2019-10-06T15:01:06.582,,5Yq2VVGCxorE0YLR3XZuuylH,,,,,notified
1570374066592,2019-10-06T15:01:06.592,,ybxXQ6h8kTfEcF3ZR3bZafAr,,,,,notified
1570374119815,2019-10-06T15:01:59.815,6bc75431-2392-4e19-b0d9-6f5a07b131bb,ybxXQ6h8kTfEcF3ZR3bZafAr,info_text_box,Additional Questions for the Final Month,,,present
1570374120805,2019-10-06T15:02:00.805,6bc75431-2392-4e19-b0d9-6f5a07b131bb,ybxXQ6h8kTfEcF3ZR3bZafAr,info_text_box,Additional Questions for the Final Month,,,unpresent
1570374120865,2019-10-06T15:02:00.865,718f61ae-4c6f-4ce5-e7b9-998b6e6ea67a,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you find a new or better job?,[Yes;Maybe;No],,present
1570374124605,2019-10-06T15:02:04.605,718f61ae-4c6f-4ce5-e7b9-998b6e6ea67a,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you find a new or better job?,[Yes;Maybe;No],Yes,changed
1570374125791,2019-10-06T15:02:05.791,718f61ae-4c6f-4ce5-e7b9-998b6e6ea67a,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you find a new or better job?,[Yes;Maybe;No],Yes,unpresent
1570374125833,2019-10-06T15:02:05.833,d5c36c38-336d-49a9-e59d-723b9a8161f0,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,“Did the job search function of this app help you find work; career counseling or training?,[Yes;No],,present
1570374129793,2019-10-06T15:02:09.793,d5c36c38-336d-49a9-e59d-723b9a8161f0,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,“Did the job search function of this app help you find work; career counseling or training?,[Yes;No],Yes,changed
1570374131642,2019-10-06T15:02:11.642,d5c36c38-336d-49a9-e59d-723b9a8161f0,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,“Did the job search function of this app help you find work; career counseling or training?,[Yes;No],Yes,unpresent
1570374131683,2019-10-06T15:02:11.683,8f35d421-2a35-4cf9-d95d-5970ea0ab186,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you work more hours than you could have worked otherwise?,[Yes;No],,present
1570374136520,2019-10-06T15:02:16.520,8f35d421-2a35-4cf9-d95d-5970ea0ab186,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you work more hours than you could have worked otherwise?,[Yes;No],Yes,changed
1570374137172,2019-10-06T15:02:17.172,8f35d421-2a35-4cf9-d95d-5970ea0ab186,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did access to Uber credits help you work more hours than you could have worked otherwise?,[Yes;No],Yes,unpresent
1570374137217,2019-10-06T15:02:17.217,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,,present
1570374143874,2019-10-06T15:02:23.874,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,H,changed
1570374144042,2019-10-06T15:02:24.042,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,He,changed
1570374144175,2019-10-06T15:02:24.175,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Hel,changed
1570374144443,2019-10-06T15:02:24.443,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Help,changed
1570374144901,2019-10-06T15:02:24.901,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Help ,changed
1570374145374,2019-10-06T15:02:25.374,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Help,changed
1570374145762,2019-10-06T15:02:25.762,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helpe,changed
1570374145947,2019-10-06T15:02:25.947,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped,changed
1570374146080,2019-10-06T15:02:26.080,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped ,changed
1570374146328,2019-10-06T15:02:26.328,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped m,changed
1570374146595,2019-10-06T15:02:26.595,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me,changed
1570374146729,2019-10-06T15:02:26.729,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me ,changed
1570374147060,2019-10-06T15:02:27.060,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me g,changed
1570374147277,2019-10-06T15:02:27.277,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me ge,changed
1570374147536,2019-10-06T15:02:27.536,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get,changed
1570374147596,2019-10-06T15:02:27.596,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get ,changed
1570374147909,2019-10-06T15:02:27.909,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get m,changed
1570374148006,2019-10-06T15:02:28.006,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my,changed
1570374148144,2019-10-06T15:02:28.144,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my ,changed
1570374148715,2019-10-06T15:02:28.715,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my s,changed
1570374148807,2019-10-06T15:02:28.807,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my so,changed
1570374149030,2019-10-06T15:02:29.030,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son,changed
1570374149202,2019-10-06T15:02:29.202,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son ,changed
1570374149308,2019-10-06T15:02:29.308,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son t,changed
1570374149407,2019-10-06T15:02:29.407,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to,changed
1570374149647,2019-10-06T15:02:29.647,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to ,changed
1570374149791,2019-10-06T15:02:29.791,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to d,changed
1570374149996,2019-10-06T15:02:29.996,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to da,changed
1570374150091,2019-10-06T15:02:30.091,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to day,changed
1570374150328,2019-10-06T15:02:30.328,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to dayc,changed
1570374150562,2019-10-06T15:02:30.562,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to dayca,changed
